Strain	Time	Count 	Dilution	CFU/ml	Experiment
WHO_M	6	18	10	1.80E+04	3
WHO_N	6	11	10	1.10E+04	3
WHO_G	8	16	100	1.60E+05	3
WHO_K	8	10	100	1.00E+05	3
WHO_L	8	4	10	4.00E+03	3
WHO_M	8	12	100	1.20E+05	3
WHO_N	8	15	100	1.50E+05	3
WHO_G	10	4	1000	4.00E+05	3
WHO_K	10	5	100	5.00E+04	3
WHO_L	10	14	100	1.40E+05	3
WHO_M	10	18	100	1.80E+05	3
WHO_N	10	26	100	2.60E+05	3
WHO_G	12	9	10000	9.00E+06	3
WHO_K	12	3	10000	3.00E+06	3
WHO_L	12	10	100	1.00E+05	3
WHO_M	12	21	1000	2.10E+06	3
WHO_N	12	10	1000	1.00E+06	3
WHO_G	20	28	100000	2.80E+08	3
WHO_K	20	12	100000	1.20E+08	3
WHO_L	20	7	10000	7.00E+06	3
WHO_M	20	25	100000	2.50E+08	3
WHO_N	20	21	10000	2.10E+07	3
WHO_G	22	25	100000	2.50E+08	3
WHO_K	22	25	100000	2.50E+08	3
WHO_L	22	6	10000	6.00E+06	3
WHO_M	22	14	100000	1.40E+08	3
WHO_N	22	12	100000	1.20E+08	3
WHO_G	24	14	1000000	1.40E+09	3
WHO_K	24	22	100000	2.20E+08	3
WHO_L	24	22	10000	2.20E+07	3
WHO_M	24	9	100000	9.00E+07	3
WHO_N	24	12	100000	1.20E+08	3
WHO_G	26	22	10000000	2.20E+10	3
WHO_K	26	12	1000000	1.20E+09	3
WHO_L	26	14	10000	1.40E+07	3
WHO_M	26	21	1000000	2.10E+09	3
WHO_N	26	4	10000000	4.00E+09	3
WHO_G	28	4	10000000	4.00E+09	3
WHO_K	28	28	1000000	2.80E+09	3
WHO_L	28	9	100000	9.00E+07	3
WHO_M	28	12	1000000	1.20E+09	3
WHO_N	28	33	1000000	3.30E+09	3
WHO_G	30	13	10000000	1.30E+10	3
WHO_K	30	6	1000000	6.00E+08	3
WHO_L	30	19	100000	1.90E+08	3
WHO_M	30	4	1000000	4.00E+08	3
WHO_N	30	19	10000000	1.90E+10	3
WHO_G	32	14	10000000	1.40E+10	3
WHO_K	32	15	1000000	1.50E+09	3
WHO_L	32	14	100000	1.40E+08	3
WHO_M	32	22	100000	2.20E+08	3
WHO_N	32	26	10000000	2.60E+10	3
WHO_G	34	9	10000000	9.00E+09	3
WHO_K	34	8	1000000	8.00E+08	3
WHO_L	34	4	100000	4.00E+07	3
WHO_M	34	24	100000	2.40E+08	3
WHO_N	34	31	10000000	3.10E+10	3
WHO_G	36	14	10000000	1.40E+10	3
WHO_K	36	15	1000000	1.50E+09	3
WHO_L	36	14	100000	1.40E+08	3
WHO_M	36	9	10000000	9.00E+09	3
WHO_N	36	30	10000000	3.00E+10	3
